| తె-ల | వా-ర | గ-నే | బస్-స్టాండ్ | 8 | | |
| ప-ల | క-లే | ని-పేర్ | ల-తో-బ-జార్-లు | 10 | | |
| [Chorus 1: The Dream] | | Adbhuta | Kosalam |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| నా-క-ల | లు-రం | గు-ల | బ-లూన్-లా-ఎ-గు-రు-తున్-టే | 15 | | |
| ఎ-వ-రూ | అ-డ | గ-రు | "నీ-ఊ-రెక్-క-డ?" | 10 | | |
| "నీ-గో | సే | మి | టి?"-అ-ని | 7 | | |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| న-డు-స్తూ | నేర్-చు | కున్-నా | తె-లి-య-ని-లో-కం-సు-లు-వ-ని | 19 | | |
| [Verse 2: The Glitz] | | Hasya | Sankarabharanam |
| మె-రి-సే | మె-రైన్ | డ్రైవ్ | మె-డ-లో-హా-రం | 15 | | |
| మె-లి-క | ల-సీ | లింక్ | న-డ-క-ల-నా-ట్యం | 14 | | |
| ఆ-కా | శం | హద్-దు | గా-మే-డ-ల-గర్-వం | 13 | | |
| అ-ర-చే | త-అ-మృ | తం-ఈ | ప-రు-గు-ల-షె-హ-రం | 14 | | |
| [Bridge: The Invitation] | | Sringara | Kharaharapriya |
| పి-లి-చిం | ది-త-నే | నన్-ను | చే-యి-చా-పి-అప్-పు-డు | 15 | | |
| కన్-ను | గీ-టి | అ-డి | గిం-ది-తో-డు-రమ్-మ-ని | 15 | | |
| ద-రి | చే-ర | లే-క | నే-ను-వె-న-క-డు-గు | 13 | | |
| గు-లా | బీ | లే-ని | దే-త-లు-పు-తట్-ట-ను | 13 | | |
| [Finale: The Ambition] | | Veera | Mechakalyani |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| నా-పే | రొ-క | రోడ్-డు | కు-చాక్-తో-పెట్-టు-కున్-నా | 14 | | |
| సిగ్-గు | తో | చె-రి | పే-సి | 7 | | |
| మళ్-లీ | మళ్-లీ | మళ్-లీ | గీ-సు-కున్-నా | 10 | | |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| ఓ-రో | జు-ఈ | వీ-ధు | లే-నన్-ను-పే-రు-తో... | 17 | | |
| పి-లు-స్తా | య-ని | నా-పే | రు-పి-లు-స్తా-య-ని | 14 | | |


| ఒ-క | చే-తి | లో | చాయ్-గ్లాస్ | 8 | | |
| ఒ-క | చే-తి | లో | డి-గ్రీ-పే-పర్ | 9 | | |

| మ-రో | చే-తి | లో | పా-త-బ్యాగ్ | 8 | | |
| మ-రో | చే-తి | లో | ట్రా-వెల్-బ్యాగ్ | 9 | | |

| తెల్-ల | వా-ర | గా-నే | బస్-సు-స్టాండ్ | 9 | | |
| పేర్-లు | ప-ల | క-ని | ఈ-జ-నా-లు | 9 | | |
| నన్-ను | చూ-సి | నవ్-వి | నట్-టే | 8 | | |
| [Chorus: The Struggle] | | Karuna | Hanumatodi |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| నా-క-ల | లు-ప్లాస్ | టిక్-క-వర్ | ల-లా-ఎ-గ-రు-తున్-టే | 15 | | |
| ఎ-వ-రూ | అ-డ | గ-రు | "నీ-ఊ-రు-ఎక్-క-డ?" | 11 | | |
| "నీ-భా | రం | ఎం | త?"-అ-ని | 8 | | |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| న-డు-స్తూ | నేర్-చు | కున్-నా | ఒం-ట-రి-త-నం-తో-డై | 19 | | |
| [Verse 2: The Girl] | | Sringara | Kharaharapriya |
| ఫుట్-పాత్ | మీ-ద | చా-దర్ | వే-సి | 9 | | |
| చిత్-రా | లు-అమ్ | మే-ఆ | అమ్-మా-యి | 10 | | |
| నే-ను | గీ-సి | న-భ-వి | ష్యత్-తు-లో | 9 | | |
| ఆ-మే | ము-ఖం | మా-త్రం | స్పష్-టం-గా | 10 | | |
| రాత్-రి | బం-డి | లైట్-ల | కం-టే | 8 | | |
| [Bridge: The Identity] | | Bibhatsa | Varunapriya |
| ఒ-క | మూ-ల | లో | పా-త-భా-ష | 9 | | |
| మ-రొ-క | మూ-ల | లో | కొత్త-జీ-తం | 10 | | |
| అద్-దం | లో-చూ | స్త్తే-నా | ము-ఖం | 9 | | |
| ఇద్-ద | రి-దీ | మి-శ్ర | మం-(హే) | 8 | | |
| [Finale: The Ambition] | | Veera | Mechakalyani |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| నా-పే | రు-రోడ్ | డు-పై | న-చాక్-తో-రా-సు-కున్-నా | 15 | | |
| గా-లి | లో | చె-రి | పే-సి | 7 | | |
| మళ్-లీ | మళ్-లీ | మళ్-లీ | గీ-సు-కుం-టున్-నా | 11 | | |
| బొం-బా | యీ | వీ-ధు | ల్లో | 6 | | |
| ఓ-రో | జు-ఈ | వీ-ధు | లే-నన్-ను-పే-రు-తో... | 17 | | |
